org_id,stage_id,stage_recording_file_id,recording_name,srt_url,created_at
243,950,301,,"",2021-02-05 19:45:56 UTC
243,2763,2192,Gourmet Taco Night with Virtual Chef,https://s3.us-west-1.amazonaws.com/adair--prod/0ru7oysc8hy6ljrjray4leduv17j?response-content-disposition=attachment%3B%20filename%3D%22Gourmet%20Taco%20Night%20with%20Virtual%20Chef.srt%22%3B%20filename%2A%3DUTF-8%27%27Gourmet%2520Taco%2520Night%2520with%2520Virtual%2520Chef.srt&response-content-type=text%2Fplain&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAZ7CKGPKRXIG5X4NN%2F20230207%2Fus-west-1%2Fs3%2Faws4_request&X-Amz-Date=20230207T194211Z&X-Amz-Expires=7200&X-Amz-SignedHeaders=host&X-Amz-Signature=2d6a637edd0226c51ac810ee03dc821d29de4b4069bcac3a3b13a0b30912cbae,2021-09-16 00:34:46 UTC
243,1138,465,,"",2021-03-17 21:17:34 UTC
243,1177,511,,"",2021-03-27 00:22:05 UTC
243,1885,1095,The Hollywood Reporter presents Power Lawyers 2021,"",2021-05-26 16:46:28 UTC
243,1492,752,,"",2021-04-23 21:03:12 UTC
243,1515,908,Storytelling Masterclass with Lionel Mohri,"",2021-05-07 20:57:44 UTC
243,1355,508,,"",2021-03-26 20:54:52 UTC
243,3160,2838,Gourmet Taco Night with Virtual Chef 🌮,https://s3.us-west-1.amazonaws.com/adair--prod/5iswvozf0ykvh7y6mb6skyanwcwy?response-content-disposition=attachment%3B%20filename%3D%22Gourmet%20Taco%20Night%20with%20Virtual%20Chef%20%253F.srt%22%3B%20filename%2A%3DUTF-8%27%27Gourmet%2520Taco%2520Night%2520with%2520Virtual%2520Chef%2520%25F0%259F%258C%25AE.srt&response-content-type=text%2Fplain&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAZ7CKGPKRXIG5X4NN%2F20230207%2Fus-west-1%2Fs3%2Faws4_request&X-Amz-Date=20230207T194211Z&X-Amz-Expires=7200&X-Amz-SignedHeaders=host&X-Amz-Signature=39d1d830db3c019dbcd152ef44845dc689c8979fa22d744630c2450b8f89da25,2021-10-29 00:26:00 UTC
243,1509,1542,Gourmet Taco Night with Virtual Chef,"",2021-06-19 00:37:09 UTC
